Number,Meaning,PRON,Vる,Vます,Vない,ｖて,Vた
1,"to bathe, to shower",あびる,浴びる,浴びます,浴びない,浴んで,浴んで
2,to raise; to elevate,あげる,上げる,上げます,,,
3,"to open (a door, etc.); to unwrap (e.g. parcel, package); to unlock",あける,開ける,開けます,,,
4,"to open (e.g. doors, business, etc)",あく,開く,,,,
5,to wash,あらう,洗う,洗います,,,
6,"to be, to have",,ある,,,,
7,to walk,あるく,歩く,,,,
8,to play; to enjoy oneself,あそぶ,遊ぶ,遊びます,,,
9,to meet; to encounter; to see,あう,会う,会います,,,
10,to study,べんきょう,勉強,勉強します,,,
11,to differ,ちがう,違う,違います,,,
12,to take out; to get out; to put out; to reveal,だす,出す,,,,
13,to go out; to leave; to depart,でかける,出かける,出かけます,,,
14,telephone (call / device)l; phone call,でんわ,電話,,,,
15,to leave; to exit; to appear; to go out,でる,出る,出ます,,,
16,to blow (of the wind),ふく,吹く,,,,
17,to fall,ふる,降る,ふります,,,
18,to enter; to go into,はいる,入る,入ります,,,
19,to begin,はじまる,始まる,始まります,,,
20,"to wear, to put on trousers",はく,履く,履きます,,,
21,to speak; to talk; to converse,はなす,話す,,,,
22,to be sunny,はれる,晴れる,,,,
23,to stick; to paste,はる,貼る,,,,
24,to run,はしる,走る,,,,
25,to work,はたらく,働く,,,,
26,to pull,ひく,引く,,,,
27,to play,ひく,弾く,,,,
28,to go; to move,いく,行く,,,,
29,to put in; to let in; to take in; to bring in; to insert; to install,いれる,入れる,,,,
30,"to be, to have",いる,居る,,,,
31,to be needed,いる,要る,,,,
32,to say; to call,いう,言う,,,,
33,lesson; class work,じゅぎょう,授業,,,,
34,to go back​,かえる,帰る,,,,
35,to return something,かえす,返す,,,,
36,"to take (a resource, e.g. time or money)",かかる,掛かる,,,,
37,to hang up; to make (a call)​;,かける,掛ける,,,,
38,to write; to compose; to pen; to draw,かく,書く,,,,
39,to borrow,かりる,借りる,,,,
40,to lend; to loan,かす,貸す,,,,
41,to buy; to purchase,かう,買う,,,,
42,marriage,けっこん,結婚,,,,
43,"to erase, to turn off power",けす,消す,,,,
44,to disappear,きえる,消える,,,,
45,to hear; to listen (to music); to ask; to learn of,きく,聞く,,,,
46,to cut,きる,切る,,,,
47,to wear,きる,着る,,,,
48,to be troubled,こまる,困る,,,,
49,copy; photocopy,,コピー,,,,
50,to answer,こたえる,答える,,,,
51,"to become cloudy, to become dim",くもる,曇る,,,,
52,to come,くる,来る,,,,
53,"to turn, to bend",まがる,曲がる,,,,
54,to wait​,まつ,待つ,,,,
55,to polish; to shine; to brush (e.g. teeth),みがく,磨く,,,,
56,to see; to look; to watch; to view; to observe,みる,見る,,,,
57,to show; to display,みせる,見せる,,,,
58,to hold,もつ,持つ,,,,
59,animal noise. to chirp,なく,鳴く,,,,
60,to lose (something),なくす,無くす,,,,
61,"to line up,to set up",ならべる,並べる,,,,
62,"to line up,to stand in a line",ならぶ,並ぶ,,,,
63,to be taught; to learn (from a teacher),ならう,習う,,,,
64,to sleep; to go to bed; to lie down,ねる,寝る,,,,
65,to climb,のぼる,登る,,,,
66,to drink,のむ,飲む,,,,
67,"to get on (train, plane, bus, ship, etc.)",のる,乗る,,,,
68,to take off clothes,ぬぐ,脱ぐ,,,,
69,to remember,おぼえる,覚える,,,,
70,to get up; to wake up,おきる,起きる,,,,
71,to put; to place​,おく,置く,,,,
72,to get off,おりる,降りる,,,,
73,to teach,おしえる,教える,,,,
74,to push; to press​,おす,押す,,,,
75,to finish; to end,おわる,終わる,,,,
76,to swim,およぐ,泳ぐ,,,,
77,practice; practicing,れんしゅう,練習,,,,
78,travel; trip; journey; excursion; tour,りょこう,旅行,,,,
79,cuisine,りょうり,料理,,,,
80,to bloom,さく,咲く,,,,
81,walk; stroll,さんぽ,散歩,,,,
82,"to stretch out hands, to raise an umbrella",さす,差す,,,,
83,washing; laundry,せんたく,洗濯,,,,
84,work; job; business,しごと,仕事,,,,
85,"to close, to be closed",しまる,閉まる,,,,
86,to tie; to fasten; to tighten​,しめる,締める,,,,
87,to close; to shut,しめる,閉める,,,,
88,to die,しぬ,死ぬ,,,,
89,to know,しる,知る,,,,
90,question; inquiry,しつもん,質問,,,,
91,"to clean, to sweep",そうじ,掃除,,,,
92,to live in; to reside; to inhabit; to dwell; to abide,すむ,住む,,,,
93,"to smoke, to suck",すう,吸う,,,,
94,to sit,すわる,座る,,,,
95,to eat,たべる,食べる,,,,
96,to ask,たのむ,頼む,,,,
97,to stand; to stand up​,たつ,立つ,,,,
98,examination; quiz; test,,テスト,,,,
99,to fly; to hop,とぶ,飛ぶ,,,,
100,to stop; to come to a halt,とまる,止まる,,,,
101,to take a photo or record a film,とる,撮る,,,,
102,to take; to pick up; to harvest; to earn; to win; to choose,とる,取る,,,,
103,to get tired,つかれる,疲れる,,,,
104,to use,つかう,使う,,,,
105,to attach; affix; add; apply,つける,付ける,,,,
106,to turn on,,つける,,,,
107,to arrive at,つく,着く,,,,
108,to make,つくる,作る,,,,
109,to work for someone,つとめる,勤める,,,,
110,to be born,うまれる,生まれる,,,,
111,to sell,うる,売る,,,,
112,to sing,うたう,歌う,,,,
113,to understand; to comprehend; to grasp; to see; to get; to follow,わかる,分かる,,,,
114,to forget,わすれる,忘れる,,,,
115,to go across,わたる,渡る,,,,
116,to hand over,わたす,渡す,,,,
117,to do,,やる,,,,
118,to be absent; to take a day off; to rest,やすむ,休む,,,,
119,"to call out, to invite",よぶ,呼ぶ,,,,
